Name,Artifact Type,Category,Description,Tags
Industry Accelerators,category,,The IBM Industry Accelerators are a suite of collections of various artifacts intended to address a particular business or industry issue. ,
Loan Default Analysis,category,Industry Accelerators,"The collection of concepts and metrics useful for analysis of loans which are not being repaid according to their agreed conditions, with a view to recognizing characteristics that might indicate a risk of future defaults and potential credit losses. © Copyright IBM Corp. 2019. All Rights Reserved",
